interview_id,name,age,gender,role_applied,industry_skills,jd,interview_date,transcript
INT1001,Kabir Patel,37,Female,HR Executive,"employee engagement, communication, recruitment, policy, onboarding","Manage recruitment, employee engagement initiatives, and HR policy implementation. Excellent communication and organizational skills required.",2023-07-08,"Kabir Patel: Good morning! Thank you for this opportunity.
Interviewer: Thanks for joining — let's begin.
Interviewer: What are your key strengths?
Kabir Patel: My strengths are employee engagement and communication.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: My last project involved communication and cross-functional coordination.
Interviewer: Tell me about a recent technical/project you worked on.
Kabir Patel: My last project involved communication and cross-functional coordination.
Interviewer: What motivates you at work?
Kabir Patel: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Do you have any questions for us?
Candidate: I look forward to hearing from you. Thank you.
Interviewer: Describe your role in your last project.
Candidate: My so last project involved communication and cross-functional coordination.
Interviewer: Tell me about a recent technical/project you worked on.
Kabir Patel: I well led a project where we used employee engagement to deliver a solution that improved metrics.
Interviewer: How do you approach learning a new skill?
Kabir Patel: I so take hands-on courses and apply them to projects.
Interviewer: How do you approach learning a new skill?
Kabir Patel: I take hands-on courses and apply them to projects.
Interviewer: Can you walk me through a challenging problem you solved?
Kabir Patel: I you know worked on projects using employee engagement, communication, recruitment.
Interviewer: Which tools and technologies do you use?
Interviewer: That concludes our questions. Do you have anything to ask us?
Kabir Patel: Yes, I would like to know more about the team I’d be working with."
INT1002,Esha Kapoor,24,Male,HR Executive,"employee engagement, communication, recruitment, policy, onboarding","Manage recruitment, employee engagement initiatives, and HR policy implementation. Excellent communication and organizational skills required.",2024-09-01,"Esha Kapoor: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: How do you approach learning a new skill?
Esha Kapoor: I learn by building small projects and iterating quickly.
Interviewer: Which tools and technologies do you use?
Candidate: I use Git for version control and Jenkins for CI/CD.
Interviewer: To begin, can you tell me about yourself?
Esha Kapoor: I have around 5 years of experience focusing on employee engagement, communication.
Interviewer: What are your key strengths?
Esha Kapoor: I am detail-oriented and I communicate well with stakeholders.
Interviewer: To begin, can you tell me about yourself?
Esha Kapoor: I graduated in Computer Science and have worked on projects involving employee engagement, communication.
Interviewer: What is a weakness you are working on?
Esha Kapoor: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What is a weakness you are working on?
Esha Kapoor: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: What are your key strengths?
Esha Kapoor: My strengths are employee engagement and communication.
Interviewer: What are your key strengths?
Esha Kapoor: My strengths are employee engagement and communication.
Interviewer: Can you walk me through a challenging problem you solved?
Esha Kapoor: I have hands-on experience with employee engagement and communication.
Interviewer: That concludes our questions. Do you have anything to ask us?
Esha Kapoor: No, thank you. I look forward to hearing from you."
INT1003,Kiara Nambiar,25,Other,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2025-06-04,"Kiara Nambiar: Hi, thanks for having me today.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: How do you approach learning a new skill?
Kiara Nambiar: I I mean take hands-on courses and apply them to projects.
Interviewer: How do you approach learning a new skill?
Kiara Nambiar: I learn by building small projects and iterating quickly.
Interviewer: What motivates you at work?
Kiara Nambiar: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Kiara Nambiar: I am detail-oriented and I communicate well with stakeholders.
Interviewer: What is a weakness you are working on?
Candidate: I well tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What are your key strengths?
Candidate: I enjoy problem-solving and collaborating with teams.
Interviewer: Describe your role in your last project.
Kiara Nambiar: I developed a tool using data analysis that automated a lot of manual work.
Interviewer: How do you approach learning a new skill?
Kiara Nambiar: I learn by building small projects and iterating quickly.
Interviewer: Do you have any questions for us?
Kiara Nambiar: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you work with cross-functional teams?
Kiara Nambiar: I coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: Which tools and technologies do you use?
Kiara Nambiar: I use Git for version control and Jenkins for CI/CD.
Interviewer: That concludes our questions. Do you have anything to ask us?
Kiara Nambiar: Yes, I would like to know more about the team I’d be working with."
INT1004,Aisha Bhandari,36,Female,HR Executive,"employee engagement, communication, recruitment, policy, onboarding","Manage recruitment, employee engagement initiatives, and HR policy implementation. Excellent communication and organizational skills required.",2023-12-07,"Aisha Bhandari: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: How do you approach learning a new skill?
Aisha Bhandari: I take hands-on courses and apply them to projects.
Interviewer: How do you work with cross-functional teams?
Aisha Bhandari: I have hands-on experience with employee engagement and communication.
Interviewer: How do you work with cross-functional teams?
Aisha Bhandari: I use Git for version control and Jenkins for CI/CD.
Interviewer: To begin, can you tell me about yourself?
Aisha Bhandari: I have around 3 years of experience focusing on employee engagement, communication.
Interviewer: What are your key strengths?
Aisha Bhandari: I enjoy problem-solving and collaborating with teams.
Interviewer: Describe your role in your last project.
Aisha Bhandari: I I mean led a project where we used employee engagement to deliver a solution that improved metrics.
Interviewer: Describe your role in your last project.
Aisha Bhandari: I developed a tool using employee engagement that automated a lot of manual work.
Interviewer: How do you work with cross-functional teams?
Candidate: I coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: What are your key strengths?
Aisha Bhandari: I am detail-oriented and I communicate well with stakeholders.
Interviewer: Tell me about a recent technical/project you worked on.
Aisha Bhandari: I have hands-on experience with employee engagement and communication.
Interviewer: What are your key strengths?
Interviewer: That concludes our questions. Do you have anything to ask us?
Aisha Bhandari: No, thank you. I look forward to hearing from you."
INT1005,Tara Joshi,27,Female,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-02-17,"Tara Joshi: Good afternoon, thank you for taking the time.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: How do you handle deadlines and pressure?
Tara Joshi: I well enjoy mentoring juniors and helping the team grow.
Interviewer: What is a weakness you are working on?
Tara Joshi: Sometimes well I get too focused on details, but I try to delegate.
Interviewer: Tell me about a recent technical/project you worked on.
Tara Joshi: I so led a project where we used branding to deliver a solution that improved metrics.
Interviewer: Which tools and technologies do you use?
Tara Joshi: I regularly use tools like JIRA and Trello for tracking.
Interviewer: Which tools and technologies do you use?
Tara Joshi: I well use Git for version control and Jenkins for CI/CD.
Interviewer: Do you have any questions for us?
Tara Joshi: I look forward to hearing from you. Thank you.
Interviewer: Which tools and technologies do you use?
Candidate: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Tara Joshi: I look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?
Tara Joshi: My last project involved campaigns and cross-functional coordination.
Interviewer: To begin, can you tell me about yourself?
Tara Joshi: I have around 6 years of experience focusing on branding, campaigns.
Interviewer: That concludes our questions. Do you have anything to ask us?
Tara Joshi: No, thank you. I look forward to hearing from you."
INT1006,Esha Reddy,29,Female,HR Executive,"employee engagement, communication, recruitment, policy, onboarding","Manage recruitment, employee engagement initiatives, and HR policy implementation. Excellent communication and organizational skills required.",2023-08-13,"Esha Reddy: Hi, thanks for having me today.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: Which tools and technologies do you use?
Esha Reddy: I use Git for version control and Jenkins for CI/CD.
Interviewer: What is a weakness you are working on?
Esha Reddy: Sometimes I get too focused on details, but I try to delegate.
Interviewer: Which tools and technologies do you use?
Esha Reddy: I regularly use tools like JIRA and Trello for tracking.
Interviewer: What are your key strengths?
Candidate: My strengths are employee engagement and communication.
Interviewer: What is a weakness you are working on?
Esha Reddy: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: What is a weakness you are working on?
Esha Reddy: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: How do you handle deadlines and pressure?
Esha Reddy: I you know enjoy problem-solving and collaborating with teams.
Interviewer: Describe your role in your last project.
Esha Reddy: For technical tasks I usually rely on employee engagement and complement it with communication.
Interviewer: To begin, can you tell me about yourself?
Esha Reddy: I I mean have around 4 years of experience focusing on employee engagement, communication.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: My last project involved communication and cross-functional coordination.
Interviewer: Tell me about a recent technical/project you worked on.
Esha Reddy: My last project involved communication and cross-functional coordination.
Interviewer: That concludes our questions. Do you have anything to ask us?
Esha Reddy: Yes, I would like to know more about the team I’d be working with."
INT1007,Dhruv Agarwal,42,Female,AI/ML Engineer,"machine learning, python, deep learning, model deployment, data preprocessing","Develop and deploy machine learning models, perform data preprocessing and model evaluation, and work on production ML pipelines.",2023-11-06,"Dhruv Agarwal: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: What is a weakness you are working on?
Dhruv Agarwal: Sometimes I get too focused on details, but I try to delegate.
Interviewer: What are your key strengths?
Dhruv Agarwal: I well am detail-oriented and I communicate well with stakeholders.
Interviewer: Describe your role in your last project.
Dhruv Agarwal: I worked on projects using machine learning, python, deep learning.
Interviewer: How do you work with cross-functional teams?
Dhruv Agarwal: I am detail-oriented and I communicate well with stakeholders.
Interviewer: To begin, can you tell me about yourself?
Dhruv Agarwal: I well graduated in Computer Science and have worked on projects involving machine learning, python.
Interviewer: How do you handle deadlines and pressure?
Dhruv Agarwal: My strengths are machine learning and python.
Interviewer: How do you handle deadlines and pressure?
Dhruv Agarwal: I uh graduated in Computer Science and have worked on projects involving machine learning, python.
Interviewer: How do you approach learning a new skill?
Dhruv Agarwal: I take hands-on courses and apply them to projects.
Interviewer: To begin, can you tell me about yourself?
Dhruv Agarwal: I you know graduated in Computer Science and have worked on projects involving machine learning, python.
Interviewer: That concludes our questions. Do you have anything to ask us?
Dhruv Agarwal: Yes, I would like to know more about the team I’d be working with."
INT1008,Riya Gupta,24,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2023-08-01,"Riya Gupta: Hi, thanks for having me today.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: How do you handle deadlines and pressure?
Riya Gupta: Sometimes I get too focused on details, but I try to delegate.
Interviewer: What is a weakness you are working on?
Candidate: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: To begin, can you tell me about yourself?
Riya Gupta: I am a Project with experience in leadership, agile.
Interviewer: Do you have any questions for us?
Candidate: Thank uh you for your time. I'm excited about this opportunity.
Interviewer: How do you work with cross-functional teams?
Riya Gupta: In the next 5 years, I aim to grow into a leadership role.
Interviewer: What motivates you at work?
Riya Gupta: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Do you have any questions for us?
Riya Gupta: I look forward to hearing from you. Thank you.
Interviewer: To begin, can you tell me about yourself?
Candidate: I graduated in Computer Science and have worked on projects involving leadership, agile.
Interviewer: Describe your role in your last project.
Candidate: I have hands-on experience with leadership and agile.
Interviewer: What is a weakness you are working on?
Interviewer: That concludes our questions. Do you have anything to ask us?
Riya Gupta: No, thank you. I look forward to hearing from you."
INT1009,Aanya Agarwal,41,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2024-12-30,"Aanya Agarwal: Good afternoon, thank you for taking the time.
Interviewer: Thanks for joining — let's begin.
Interviewer: What motivates you at work?
Aanya Agarwal: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Describe your role in your last project.
Aanya Agarwal: My last project involved agile and cross-functional coordination.
Interviewer: Tell me about a recent technical/project you worked on.
Aanya Agarwal: I developed a tool using leadership that automated a lot of manual work.
Interviewer: How do you work with cross-functional teams?
Aanya Agarwal: My strengths are leadership and agile.
Interviewer: What is a weakness you are working on?
Candidate: I uh can be cautious with deadlines, and I'm working on prioritization.
Interviewer: What are your key strengths?
Candidate: I am detail-oriented and I communicate well with stakeholders.
Interviewer: To begin, can you tell me about yourself?
Aanya Agarwal: I have around 6 years of experience focusing on leadership, agile.
Interviewer: How do you work with cross-functional teams?
Aanya Agarwal: I coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: Which tools and technologies do you use?
Aanya Agarwal: I use SQL and Excel for analysis and reporting.
Interviewer: Tell me about a recent technical/project you worked on.
Aanya Agarwal: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: What motivates you at work?
Aanya Agarwal: In the next 5 years, I aim to grow into a leadership role.
Interviewer: That concludes our questions. Do you have anything to ask us?
Aanya Agarwal: No, thank you. I look forward to hearing from you."
INT1010,Sara Gupta,39,Other,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2024-09-20,"Sara Gupta: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: To begin, can you tell me about yourself?
Sara Gupta: I have around 6 years of experience focusing on leadership, agile.
Interviewer: What is a weakness you are working on?
Sara Gupta: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: How do you handle deadlines and pressure?
Sara Gupta: I am a Project with experience in leadership, agile.
Interviewer: What is a weakness you are working on?
Candidate: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What motivates you at work?
Sara Gupta: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: How do you handle deadlines and pressure?
Sara Gupta: I developed a tool using leadership that automated a lot of manual work.
Interviewer: What are your key strengths?
Candidate: I ... enjoy problem-solving and collaborating with teams.
Interviewer: What are your key strengths?
Sara Gupta: My strengths are leadership and agile.
Interviewer: How do you approach learning a new skill?
Candidate: I ... learn by building small projects and iterating quickly.
Interviewer: How do you work with cross-functional teams?
Sara Gupta: I am detail-oriented and I communicate well with stakeholders.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: I developed a tool using leadership that automated a lot of manual work.
Interviewer: That concludes our questions. Do you have anything to ask us?
Sara Gupta: Yes, I would like to know more about the team I’d be working with."
